id,name,flux_process_id
1,DisturbanceCO2Production,3
2,DisturbanceCH4Production,3
3,DisturbanceCOProduction,3
4,DisturbanceBioCO2Emission,3
5,DisturbanceBioCH4Emission,3
6,DisturbanceBioCOEmission,3
7,DecayDOMCO2Emission,2
8,DisturbanceSoftProduction,3
9,DisturbanceHardProduction,3
10,DisturbanceDOMProduction,3
11,DeltaBiomass_AG,1
12,DeltaBiomass_BG,1
13,TurnoverMerchLitterInput,1
14,TurnoverFolLitterInput,1
15,TurnoverOthLitterInput,1
16,TurnoverCoarseLitterInput,1
17,TurnoverFineLitterInput,1
18,DecayVFastAGToAir,2
19,DecayVFastBGToAir,2
20,DecayFastAGToAir,2
21,DecayFastBGToAir,2
22,DecayMediumToAir,2
23,DecaySlowAGToAir,2
24,DecaySlowBGToAir,2
25,DecaySWStemSnagToAir,2
26,DecaySWBranchSnagToAir,2
27,DecayHWStemSnagToAir,2
28,DecayHWBranchSnagToAir,2
29,DisturbanceMerchToAir,3
30,DisturbanceFolToAir,3
31,DisturbanceOthToAir,3
32,DisturbanceCoarseToAir,3
33,DisturbanceFineToAir,3
34,DisturbanceDOMCO2Emission,3
35,DisturbanceDOMCH4Emission,3
36,DisturbanceDOMCOEmission,3
37,DisturbanceMerchLitterInput,3
38,DisturbanceFolLitterInput,3
39,DisturbanceOthLitterInput,3
40,DisturbanceCoarseLitterInput,3
41,DisturbanceFineLitterInput,3
42,DisturbanceVFastAGToAir,3
43,DisturbanceVFastBGToAir,3
44,DisturbanceFastAGToAir,3
45,DisturbanceFastBGToAir,3
46,DisturbanceMediumToAir,3
47,DisturbanceSlowAGToAir,3
48,DisturbanceSlowBGToAir,3
49,DisturbanceSWStemSnagToAir,3
50,DisturbanceSWBranchSnagToAir,3
51,DisturbanceHWStemSnagToAir,3
52,DisturbanceHWBranchSnagToAir,3
