flux_indicator_id,flux_indicator_name,process_id,process_name
1,DisturbanceCO2Production,1,Disturbance
2,DisturbanceCH4Production,1,Disturbance
3,DisturbanceCOProduction,1,Disturbance
4,DisturbanceBioCO2Emission,1,Disturbance
5,DisturbanceBioCH4Emission,1,Disturbance
6,DisturbanceBioCOEmission,1,Disturbance
7,DisturbanceDOMCO2Emission,1,Disturbance
8,DisturbanceDOMCH4Emssion,1,Disturbance
9,DisturbanceDOMCOEmission,1,Disturbance
10,DecayDOMCO2Emission,7,DOM Decay
10,DecayDOMCO2Emission,8,Slow Decay
11,SoftProduction,1,Disturbance
12,HardProduction,1,Disturbance
13,SoftDomProduction,1,Disturbance
14,HardDomProduction,1,Disturbance
15,DeltaBiomass_AG,2,Growth1
15,DeltaBiomass_AG,6,Growth 2
16,DeltaBiomass_BG,2,Growth1
16,DeltaBiomass_BG,6,Growth 2
17,DisturbanceBiomassToSoil,1,Disturbance
18,SoftwoodMerchTurnover,4,Biomass Turnover
18,SoftwoodMerchTurnover,5,Overmature Decline
19,HardwoodMerchTurnover,4,Biomass Turnover
19,HardwoodMerchTurnover,5,Overmature Decline
20,SoftwoodFoliageTurnover,4,Biomass Turnover
20,SoftwoodFoliageTurnover,5,Overmature Decline
21,HardwoodFoliageTurnover,4,Biomass Turnover
21,HardwoodFoliageTurnover,5,Overmature Decline
22,SoftwoodOtherTurnover,4,Biomass Turnover
22,SoftwoodOtherTurnover,5,Overmature Decline
23,HardwoodOtherTurnover,4,Biomass Turnover
23,HardwoodOtherTurnover,5,Overmature Decline
24,SoftwoodCoarseRootTurnover,4,Biomass Turnover
24,SoftwoodCoarseRootTurnover,5,Overmature Decline
25,HardwoodCoarseRootTurnover,4,Biomass Turnover
25,HardwoodCoarseRootTurnover,5,Overmature Decline
26,SoftwoodFineRootTurnover,4,Biomass Turnover
26,SoftwoodFineRootTurnover,5,Overmature Decline
27,HardwoodFineRootTurnover,4,Biomass Turnover
27,HardwoodFineRootTurnover,5,Overmature Decline
28,DecayVFastAGToAir,7,DOM Decay
29,DecayVFastBGToAir,7,DOM Decay
30,DecayFastAGToAir,7,DOM Decay
31,DecayFastBGToAir,7,DOM Decay
32,DecayMediumToAir,7,DOM Decay
33,DecaySlowAGToAir,8,Slow Decay
34,DecaySlowBGToAir,8,Slow Decay
35,DecaySWStemSnagToAir,7,DOM Decay
36,DecaySWBranchSnagToAir,7,DOM Decay
37,DecayHWStemSnagToAir,7,DOM Decay
38,DecayHWBranchSnagToAir,7,DOM Decay
39,DisturbanceVFastAGToAir,1,Disturbance
40,DisturbanceVFastBGToAir,1,Disturbance
41,DisturbanceFastAGToAir,1,Disturbance
42,DisturbanceFastBGToAir,1,Disturbance
43,DisturbanceMediumToAir,1,Disturbance
44,DisturbanceSlowAGToAir,1,Disturbance
45,DisturbanceSlowBGToAir,1,Disturbance
46,DisturbanceSWStemSnagToAir,1,Disturbance
47,DisturbanceSWBranchSnagToAir,1,Disturbance
48,DisturbanceHWStemSnagToAir,1,Disturbance
49,DisturbanceHWBranchSnagToAir,1,Disturbance
50,GrossGrowth_AG,2,Growth1
50,GrossGrowth_AG,6,Growth2
50,GrossGrowth_AG,4,Biomass Turnover
50,GrossGrowth_AG,5,Overmature Decline
51,GrossGrowth_BG,2,Growth1
51,GrossGrowth_BG,6,Growth2
51,GrossGrowth_BG,4,Biomass Turnover
51,GrossGrowth_BG,5,Overmature Decline
