id,composite_flux_indicator_id,flux_indicator_id,multiplier
1,1,11,1
2,1,13,-1
3,1,14,-1
4,1,15,-1
5,1,12,1
6,1,16,-1
7,1,17,-1
8,1,7,-1
9,1,4,-1
10,1,5,-1
11,1,6,-1
12,1,34,-1
13,1,35,-1
14,1,36,-1
15,1,8,-1
16,1,9,-1
17,1,10,-1
18,2,11,1
19,2,13,-1
20,2,14,-1
21,2,15,-1
22,2,12,1
23,2,16,-1
24,2,17,-1
25,2,4,-1
26,2,5,-1
27,2,6,-1
28,2,8,-1
29,2,9,-1
30,2,37,-1
31,2,38,-1
32,2,39,-1
33,2,40,-1
34,2,41,-1
35,3,11,1
36,3,13,-1
37,3,14,-1
38,3,15,-1
39,3,12,1
40,3,16,-1
41,3,17,-1
42,3,7,-1
43,3,34,-1
44,3,35,-1
45,3,36,-1
46,3,10,-1
47,3,37,-1
48,3,38,-1
49,3,39,-1
50,3,40,-1
51,3,41,-1
52,4,11,1
53,4,13,-1
54,4,14,-1
55,4,15,-1
56,4,12,1
57,4,16,-1
58,4,17,-1
59,5,11,1
60,5,13,-1
61,5,14,-1
62,5,15,-1
63,5,12,1
64,5,16,-1
65,5,17,-1
66,5,7,-1
67,5,34,-1
68,5,35,-1
69,5,36,-1
70,6,11,1
71,6,12,1
72,7,13,1
73,7,14,1
74,7,15,1
75,7,16,1
76,7,17,1
77,7,7,-1
78,8,13,1
79,8,14,1
80,8,15,1
81,8,16,1
82,8,17,1
83,9,18,1
84,9,19,1
85,9,20,1
86,9,21,1
87,9,22,1
88,9,23,1
89,9,24,1
90,9,25,1
91,9,26,1
92,9,27,1
93,9,28,1
94,10,8,1
95,10,9,1
96,10,10,1
97,11,8,1
98,11,9,1
99,12,10,1
100,13,8,1
101,14,9,1
102,17,20,1
103,17,21,1
104,17,22,1
105,17,25,1
106,17,26,1
107,17,27,1
108,17,28,1
109,17,44,1
110,17,45,1
111,17,46,1
112,17,49,1
113,17,50,1
114,17,51,1
115,17,52,1
116,18,18,1
117,18,23,1
118,18,42,1
119,18,47,1
120,19,19,1
121,19,24,1
122,20,18,1
123,20,42,1
124,21,19,1
125,21,43,1
126,22,20,1
127,22,44,1
128,23,21,1
129,23,45,1
130,24,22,1
131,24,46,1
132,25,23,1
133,25,47,1
134,26,24,1
135,26,48,1
136,27,25,1
137,27,49,1
138,28,26,1
139,28,50,1
140,29,27,1
141,29,51,1
142,30,28,1
143,30,52,1
144,31,7,1
145,31,4,1
146,31,5,1
147,31,6,1
148,31,34,1
149,31,35,1
150,31,36,1
151,32,4,1
152,32,5,1
153,32,6,1
154,33,7,1
155,33,34,1
156,33,35,1
157,33,36,1
158,34,7,1
159,34,4,1
160,34,34,1
161,35,6,1
162,35,36,1
163,36,5,1
164,36,35,1
165,37,4,1
166,38,6,1
167,39,5,1
168,40,7,1
169,40,34,1
170,41,36,1
171,42,35,1
172,43,7,1
173,43,4,1
174,43,5,1
175,43,6,1
176,43,34,1
177,43,35,1
178,43,36,1
179,43,8,1
180,43,9,1
181,43,10,1
182,44,37,1
183,44,38,1
184,44,39,1
185,44,40,1
186,44,41,1
187,45,11,1
188,45,13,-1
189,45,14,-1
190,45,15,-1
191,45,12,1
192,45,16,-1
193,45,17,-1
194,45,7,-1
195,45,4,-1
196,45,5,-1
197,45,6,-1
198,45,34,-1
199,45,35,-1
200,45,36,-1
201,45,8,-1
202,45,9,-1
203,45,10,-1
